5137=IDS_TRFFIC_AFTER_YARDS,%d หลาต่อมา
5138=IDS_TRFFIC_AFTER_FEET,%d ฟุตแล้วต่อมา
5139=IDS_TRFFIC_AFTER_MILES,%.1f ไมล์ต่อมา
5140=IDS_TRFFIC_ROADCONGESTED_1M,ความแออัดของถนน%dเมตร
5141=IDS_TRFFIC_ROADCONGESTED_1KM,ความแออัดของถนน%.1f กม.
5142=IDS_TRFFIC_ROADCONGESTED_1Y,ความแออัดของถนน%dหลา
5143=IDS_TRFFIC_ROADCONGESTED_1F,ความแออัดของถนน%d ฟุต
5144=IDS_TRFFIC_ROADCONGESTED_1MI,ความแออัดของถนน%.1f ไมล์
5145=IDS_TRFFIC_ROADCONGESTED_2M,%s ความแออัด %d เมตร
5146=IDS_TRFFIC_ROADCONGESTED_2KM,%s ความแออัด%.1f กม.
5147=IDS_TRFFIC_ROADCONGESTED_2Y,%s ความแออัด %d หลา
5148=IDS_TRFFIC_ROADCONGESTED_2F,%s ความแออัด %d ฟุต
5149=IDS_TRFFIC_ROADCONGESTED_2MI,%s ความแออัด%.1f ไมล์
5153=IDS_TRFFIC_AFTER_METERS,%dเมตรต่อมา
5154=IDS_TRFFIC_AFTER_KILOMETERS,%.1f ไมล์ต่อมา
5155=IDS_TRFFIC_IS_DETOUR,ต้องอ้อมหรือไม่
5156=IDS_TRFFIC_SUCCEFULDETOUR,อ้อมประสบความสําเร็จ
5157=IDS_TRFFIC_FAILDETOUR,นี่คือเส้นทางที่ดีที่สุด
5158=IDS_TMC_NOT_SUPPORT,เมืองปัจจุบันไม่รองรับการจราจรแบบเรียลไทม์
5159=IDS_MTC_NO_NETWORK,เครือข่ายไม่ถูกต้องและไม่สามารถแสดงข้อมูลการจราจรแบบเรียลไทม์
5160=IDS_TMC_NO_TRAFFICDATA,ไม่ได้รับข้อมูลการจราจรสําหรับเมืองปัจจุบัน
5170=IDS_INCIDENT_TYPE_UNKNOWN,เหตุการณ์การจราจรที่ไม่ได้กําหนด
5171=IDS_INCIDENT_TYPE_ACCIDENT,อุบัติเหตุ
5172=IDS_INCIDENT_TYPE_CONGESTION,จราจรติดขัด
5173=IDS_INCIDENT_TYPE_DISABLED_VEHICLE,ยานพาหนะที่เสียหาย
5174=IDS_INCIDENT_TYPE_ROAD_HAZARD,อันตรายบนท้องถนน
5175=IDS_INCIDENT_TYPE_CONSTRUCTION,การก่อสร้าง
5176=IDS_INCIDENT_TYPE_PLANNED_EVENT,กิจกรรมสาธารณะ
5177=IDS_INCIDENT_TYPE_MASS_TRANSIT,การขนส่งมวลชน
5178=IDS_INCIDENT_TYPE_OTHER_NEWS,อื่นๆ
5179=IDS_INCIDENT_TYPE_WEATHER,สภาพอากาศที่ไม่เอื้ออํานวย
5180=IDS_INCIDENT_TYPE_MISCELLANEOUS,อื่นๆ
